,Province/State,Country/Region,Last Update,Confirmed,Suspected,Recovered,Death,lat,lon
168,Washington,United States,20/2/1 10:00,1,0,0,0,47.7510741,-120.7401385
169,Illinois,United States,20/2/1 10:00,2,0,0,0,40.6331249,-89.3985283
170,California,United States,20/2/1 10:00,3,0,0,0,36.778261,-119.4179324
171,Arizona,United States,20/2/1 10:00,1,0,0,0,34.0489281,-111.0937311
172,0,Japan,20/2/1 10:00,17,0,1,0,36.204824,138.252924
173,0,Thailand,20/2/1 10:00,19,0,7,0,15.870032,100.992541
174,0,South Korea,20/2/1 10:00,12,0,0,0,35.907757,127.766922
175,0,Singapore,20/2/1 10:00,18,0,0,0,1.352083,103.819836
176,0,Vietnam,20/2/1 10:00,6,0,1,0,14.058324,108.277199
177,0,France,20/2/1 10:00,6,0,0,0,46.227638,2.213749
178,0,Nepal,20/2/1 10:00,1,0,0,0,28.394857,84.124008
179,0,Malaysia,20/2/1 10:00,8,0,0,0,4.210484,101.975766
180,Ontario,Canada,20/2/1 10:00,3,0,0,0,51.253775,-85.323214
181,British Columbia,Canada,20/2/1 10:00,1,0,0,0,53.7266683,-127.6476205
182,0,Cambodia,20/2/1 10:00,1,0,0,0,12.565679,104.990963
183,0,Sri Lanka,20/2/1 10:00,1,0,1,0,7.873054,80.771797
184,New South Wales,Australia,20/2/1 10:00,4,0,2,0,-31.2532183,146.921099
185,Victoria,Australia,20/2/1 10:00,4,0,0,0,-37.4713077,144.7851531
186,Queensland,Australia,20/2/1 10:00,3,0,0,0,-20.9175738,142.7027956
187,South Australia,Australia,20/2/1 10:00,1,0,0,0,-30.0002315,136.2091547
188,Bavaria,Germany,20/2/1 10:00,7,0,0,0,48.7904472,11.4978895
189,0,Finland,20/2/1 10:00,1,0,0,0,61.92411,25.7481511
190,0,United Arab Emirates,20/2/1 10:00,4,0,0,0,23.424076,53.847818
191,0,Philippines,20/2/1 10:00,1,0,0,0,12.879721,121.774017
192,0,India,20/2/1 10:00,1,0,0,0,20.593684,78.96288
193,0,Italy,20/2/1 10:00,2,0,0,0,41.87194,12.56738
194,0,Sweden,20/2/1 10:00,1,0,0,0,60.128161,18.643501
195,0,Russia,20/2/1 10:00,2,0,0,0,61.52401,105.318756
196,0,Spain,20/2/1 10:00,1,0,0,0,40.463667,-3.74922
197,0,UK,20/2/1 10:00,2,0,0,0,55.378051,-3.435973
198,Hubei,China,20/1/31 19:00,7153,0,169,249,30.7378118,112.2384017
199,Zhejiang,China,20/1/31 19:00,537,0,14,0,29.1416432,119.7889248
200,Guangdong,China,20/1/31 19:00,436,0,10,0,23.3790333,113.7632828
201,Henan,China,20/1/31 19:00,352,0,3,2,34.2904302,113.3823545
202,Hunan,China,20/1/31 19:00,332,0,3,0,27.6252995,111.8568586
203,Jiangxi,China,20/1/31 19:00,240,0,7,0,27.0874564,114.9042208
204,Chongqing,China,20/1/31 19:00,238,0,1,1,29.4315861,106.912251
205,Anhui,China,20/1/31 19:00,237,0,3,0,30.6006773,117.9249002
206,Shandong,China,20/1/31 19:00,184,0,2,0,35.8939566,117.9249002
207,Sichuan,China,20/1/31 19:00,177,0,1,1,30.2638032,102.8054753
208,Jiangsu,China,20/1/31 19:00,168,0,5,0,33.1401715,119.7889248
209,Shanghai,China,20/1/31 19:00,153,0,9,1,31.230416,121.473701
210,Beijing,China,20/1/31 19:00,139,0,5,1,39.9041999,116.4073963
211,Fujian,China,20/1/31 19:00,120,0,0,0,26.4836842,117.9249002
212,Hebei,China,20/1/31 19:00,96,0,0,1,37.8956594,114.9042208
213,Guangxi,China,20/1/31 19:00,88,0,2,0,23.7247599,108.8076195
214,Shaanxi,China,20/1/31 19:00,87,0,0,0,35.3939908,109.1880047
215,Yunnan,China,20/1/31 19:00,83,0,1,0,24.4752847,101.3431058
216,Liaoning,China,20/1/31 19:00,60,0,1,0,41.9436543,122.5290376
217,Heilongjiang,China,20/1/31 19:00,59,0,0,2,47.1216472,128.738231
218,Hainan,China,20/1/31 19:00,58,0,1,1,19.5663947,109.949686
219,Shanxi,China,20/1/31 19:00,47,0,1,0,37.2425649,111.8568586
220,Gansu,China,20/1/31 19:00,35,0,0,0,35.7518326,104.2861116
221,Tianjin,China,20/1/31 19:00,32,0,0,0,39.3433574,117.3616476
222,Guizhou,China,20/1/31 19:00,29,0,2,0,26.8429645,107.2902839
223,Ningxia,China,20/1/31 19:00,21,0,1,0,37.198731,106.1580937
224,Inner Mongolia,China,20/1/31 19:00,20,0,0,0,43.37822,115.0594815
225,Xinjiang,China,20/1/31 19:00,17,0,0,0,42.5246357,87.5395855
226,Jilin,China,20/1/31 19:00,14,0,1,0,43.1520105,126.4371385
227,Hong Kong,Hong Kong,20/1/31 19:00,13,0,0,0,22.3193039,114.1693611
228,Taiwan,Taiwan,20/1/31 19:00,10,0,0,0,23.69781,120.960515
229,Qinghai,China,20/1/31 19:00,8,0,0,0,35.744798,96.4077358
230,Macau,Macau,20/1/31 19:00,7,0,0,0,22.198745,113.543873
231,Tibet,China,20/1/31 19:00,1,0,0,0,30.1533605,88.7878678
232,Washington,United States,20/1/31 19:00,1,0,0,0,47.7510741,-120.7401385
233,Illinois,United States,20/1/31 19:00,2,0,0,0,40.6331249,-89.3985283
234,California,United States,20/1/31 19:00,3,0,0,0,36.778261,-119.4179324
235,Arizona,United States,20/1/31 19:00,1,0,0,0,34.0489281,-111.0937311
236,0,Japan,20/1/31 19:00,17,0,1,0,36.204824,138.252924
237,0,Thailand,20/1/31 19:00,19,0,7,0,15.870032,100.992541
238,0,South Korea,20/1/31 19:00,11,0,0,0,35.907757,127.766922
239,0,Singapore,20/1/31 19:00,16,0,0,0,1.352083,103.819836
240,0,Vietnam,20/1/31 19:00,2,0,0,0,14.058324,108.277199
241,0,France,20/1/31 19:00,6,0,0,0,46.227638,2.213749
242,0,Nepal,20/1/31 19:00,1,0,0,0,28.394857,84.124008
243,0,Malaysia,20/1/31 19:00,8,0,0,0,4.210484,101.975766
244,Ontario,Canada,20/1/31 19:00,2,0,0,0,51.253775,-85.323214
245,British Columbia,Canada,20/1/31 19:00,1,0,0,0,53.7266683,-127.6476205
246,0,Cambodia,20/1/31 19:00,1,0,0,0,12.565679,104.990963
247,0,Sri Lanka,20/1/31 19:00,1,0,0,0,7.873054,80.771797
248,New South Wales,Australia,20/1/31 19:00,4,0,2,0,-31.2532183,146.921099
249,Victoria,Australia,20/1/31 19:00,2,0,0,0,-37.4713077,144.7851531
250,Queensland,Australia,20/1/31 19:00,3,0,0,0,-20.9175738,142.7027956
251,Bavaria,Germany,20/1/31 19:00,7,0,0,0,48.7904472,11.4978895
252,0,Finland,20/1/31 19:00,1,0,0,0,61.92411,25.7481511
253,0,United Arab Emirates,20/1/31 19:00,4,0,0,0,23.424076,53.847818
254,0,Philippines,20/1/31 19:00,1,0,0,0,12.879721,121.774017
255,0,India,20/1/31 19:00,1,0,0,0,20.593684,78.96288
256,0,Italy,20/1/31 19:00,2,0,0,0,41.87194,12.56738
257,0,Sweden,20/1/31 19:00,1,0,0,0,60.128161,18.643501
258,0,Russia,20/1/31 19:00,2,0,0,0,61.52401,105.318756
259,0,Spain,20/1/31 19:00,1,0,0,0,40.463667,-3.74922
260,0,UK,20/1/31 19:00,2,0,0,0,55.378051,-3.435973
261,Hubei,China,20/1/31 14:00,5806,0,141,204,30.7378118,112.2384017
262,Zhejiang,China,20/1/31 14:00,538,0,14,0,29.1416432,119.7889248
263,Guangdong,China,20/1/31 14:00,436,0,11,0,23.3790333,113.7632828
264,Henan,China,20/1/31 14:00,352,0,3,2,34.2904302,113.3823545
265,Hunan,China,20/1/31 14:00,332,0,2,0,27.6252995,111.8568586
266,Jiangxi,China,20/1/31 14:00,240,0,7,0,27.0874564,114.9042208
267,Anhui,China,20/1/31 14:00,237,0,3,0,30.6006773,117.9249002
268,Chongqing,China,20/1/31 14:00,211,0,1,0,29.4315861,106.912251
269,Shandong,China,20/1/31 14:00,184,0,2,0,35.8939566,117.9249002
270,Sichuan,China,20/1/31 14:00,177,0,1,1,30.2638032,102.8054753
271,Jiangsu,China,20/1/31 14:00,168,0,5,0,33.1401715,119.7889248
272,Beijing,China,20/1/31 14:00,139,0,5,1,39.9041999,116.4073963
273,Shanghai,China,20/1/31 14:00,135,0,9,1,31.230416,121.473701
274,Fujian,China,20/1/31 14:00,120,0,0,0,26.4836842,117.9249002
275,Guangxi,China,20/1/31 14:00,87,0,2,0,23.7247599,108.8076195
276,Shaanxi,China,20/1/31 14:00,87,0,0,0,35.3939908,109.1880047
277,Yunnan,China,20/1/31 14:00,83,0,1,0,24.4752847,101.3431058
278,Hebei,China,20/1/31 14:00,82,0,0,1,37.8956594,114.9042208
279,Heilongjiang,China,20/1/31 14:00,59,0,0,2,47.1216472,128.738231
